track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_min,loudness_normalized,is_hit
0sa8J8EmTnCmu11q0lPkL4,Stephy Tang,十分愛精選,十分. 愛,20,245000,False,0.559,0.428,1,-6.681,1,0.033,0.736,0.0,0.0753,0.204,148.078,4,cantopop,4.083333333333333,0.792593825721843,0
0i8slw0OpxuQ3e3kDUsNna,Kester,Jesus,Vazhiyarikil,20,291395,False,0.658,0.489,6,-9.257,0,0.0304,0.604,0.0,0.311,0.795,130.649,3,malay,4.856583333333333,0.7449457114847493,0
0f9Zt37k5AnTkrGIFqhkK6,Cyndi Lauper,Stranger Things (Soundtrack from the Netflix Original Series),Time After Time,53,237426,False,0.729,0.443,0,-9.195,1,0.0278,0.514,1.01e-06,0.094,0.324,130.359,4,disco,3.9571,0.7460925216876606,0
6olS0TmHmsGr0hXtcBsiVM,Megadeth,Youthanasia (Expanded Edition),A Tout Le Monde - Remastered 2004,66,262133,False,0.272,0.747,5,-4.86,0,0.0401,0.000393,4.03e-05,0.16,0.255,202.777,4,hard-rock,4.368883333333334,0.8262767511976767,1
7cn8UphRWOPeGn4hxMvY0X,Los Amigos Invisibles,Repeat After Me,Invisible Love,29,274346,False,0.731,0.747,11,-6.612,0,0.0305,0.0136,0.0301,0.09,0.962,125.98,4,afrobeat,4.572433333333334,0.7938701144960508,0
75c2enhZo8WQeZPQXkjpWq,Kelpe,Fourth: The Golden Eagle,Beaks of Eagles,9,271974,False,0.615,0.517,10,-9.227,1,0.0425,0.0907,0.729,0.183,0.644,95.08,4,idm,4.5329,0.7455006196474484,0
3tjjCCdXSdaVEo4q4y071G,Tobey Rosen,Whole Again (Acoustic Version),Whole Again - Acoustic Version,52,157231,False,0.736,0.145,11,-9.215,1,0.0336,0.855,0.0,0.108,0.235,129.832,4,acoustic,2.6205166666666666,0.745722582912528,0
3uit1VjYh9PzjVdpuJNkP8,The Lumineers,Calm Christmas,Blue Christmas,0,182703,False,0.661,0.22,1,-8.31,1,0.0298,0.742,6.09e-06,0.115,0.274,102.771,3,folk,3.04505,0.7624623124872832,0
3je1pkjiD7TLndoW6jqjoj,Lebo M.,The Lion King: Original Broadway Cast Recording,"The Lion Sleeps Tonight - From ""The Lion King""/Original Broadway Cast Recording",52,69760,False,0.548,0.383,4,-15.27,1,0.0606,0.658,1.34e-05,0.124,0.565,68.176,4,disney,1.1626666666666667,0.6337236187410983,0
5xFWlwt0VB7m4ZhCNoEQTW,Die Toten Hosen,Alles aus Liebe: 40 Jahre Die Toten Hosen,Chaot (in mir),36,195130,False,0.495,0.96,1,-3.116,1,0.0771,0.00128,0.0,0.19,0.686,162.004,4,punk-rock,3.2521666666666667,0.8585354123892496,0
11hQpTbTymxIZzSmabCd9b,Max Brhon,Redemption,Redemption,44,245529,False,0.49,0.741,5,-6.601,0,0.0561,0.000887,0.189,0.0787,0.0793,105.057,4,club,4.09215,0.7940735808223739,0
10clXWnF1WxfpWhuiHGZfx,Kitchen Dwellers,Ghost in the Bottle,Mountain,38,297640,False,0.583,0.63,0,-11.301,1,0.0353,0.459,0.115,0.285,0.662,150.064,4,bluegrass,4.960666666666667,0.7071379686661856,0
63GJDO5mxiFP1ZQEpdUWRd,Polaris,The Mortal Coil,The Remedy,57,243913,False,0.356,0.995,4,-3.366,0,0.172,3.26e-06,0.000196,0.403,0.167,183.985,4,metalcore,4.065216666666666,0.8539111777000906,0
4AyUaumLrKH1uYHSUxUOsv,Thompson Twins,"Love, Lies And Other Strange Things: Greatest Hits",Love on Your Side,26,239666,False,0.767,0.76,0,-9.293,1,0.105,0.0679,0.00213,0.0974,0.697,111.859,4,synth-pop,3.9944333333333333,0.7442798216895103,0
2ST9rghUAyWeXEG5Wtl3Q3,Audiofreq;Somnia;Shanti People,Hey Adi Yogi,Hey Adi Yogi - Hard Edit,23,186400,False,0.506,0.971,2,-2.999,1,0.0728,0.0264,0.0088,0.678,0.376,150.023,4,hardstyle,3.1066666666666665,0.8606995542237759,0
38HU7vX2HlEOXLOwwFApb4,Kyary Pamyu Pamyu,Candy Racer,Natsuiro Flower,20,289893,False,0.666,0.887,0,-3.318,1,0.0326,0.154,0.385,0.0302,0.971,131.986,4,j-idol,4.83155,0.8547990307604091,0
6jqgfUKBB7g8MAzil44eCn,The Lil Smokies,Changing Shades,Might as Well,26,164995,False,0.575,0.526,9,-8.852,1,0.0336,0.533,0.00153,0.0841,0.911,118.668,4,bluegrass,2.7499166666666666,0.7524369716811867,0
3dysNqzNtD4bhiI8tMJ4Vm,Emery,The Weak's End,Fractions,30,314026,False,0.414,0.828,1,-4.893,1,0.0477,0.0372,3.64e-06,0.172,0.306,154.017,3,hardcore,5.233766666666667,0.8256663522187078,0
