,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,HIT ME HARD AND SOFT,BIRDS OF A FEATHER,95,210373,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,various
1,51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,The Secret of Us,"I Love You, I'm Sorry",87,157146,TRUE,0,0,0,0,0,0,0,0,0,0,0,4,various
2,6jbYpRPTEFl1HFKHk1IC0m,"Tyler, The Creator;Lola Young",CHROMAKOPIA,Like Him (feat. Lola Young),86,278014,TRUE,0,0,0,0,0,0,0,0,0,0,0,4,various
3,3t6gUcGYLrUuqwpXjOFWQc,Zach Top,Cold Beer & Country Music,I Never Lie,80,224906,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,country
4,0hta2Lb2zKJ7kEnAEZEE3G,wifiskeleton;i wanna be a jack-o-lantern,suburban daredevil,Nope your too late i already died,87,90067,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,various
5,2plbrEY59IikOBgBGLjaoe,Lady Gaga;Bruno Mars,Die With A Smile,Die With A Smile,92,251667,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,art pop
6,0InIeZW4P6VO7dUGRM4AKH,The Marías,Submarine,Sienna,89,224840,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,bedroom pop
7,1KZG1H1OCugGqIRmk1wF9m,Sam Barber;Avery Anna,Restless Mind,Indigo (feat. Avery Anna),83,286634,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,country
8,0FTmksd2dxiE5e3rWyJXs6,sombr,back to friends,back to friends,93,199032,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,various
9,3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,HIT ME HARD AND SOFT,WILDFLOWER,93,261466,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,various
10,7ne4VBA60CxGM75vw0EYad,Gracie Abrams,The Secret of Us (Deluxe),That’s So True,91,166300,TRUE,0,0,0,0,0,0,0,0,0,0,0,4,various
11,6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,Not Like Us,88,274192,TRUE,0,0,0,0,0,0,0,0,0,0,0,4,hip hop
12,51ZQ1vr10ffzbwIjDCwqm4,Ariana Grande,eternal sunshine,we can't be friends (wait for your love),88,228639,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,pop
13,3EO58D1YpHnTvBy68gK8HE,Tucker Wetmore,Waves On A Sunset,Wind Up Missin’ You,81,166666,TRUE,0,0,0,0,0,0,0,0,0,0,0,4,country
14,5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Short n' Sweet,Taste,87,157279,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,pop
15,4ZJ4vzLQekI0WntDbanNC7,Zach Bryan,Pink Skies,Pink Skies,84,194920,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,country
16,0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!","Good Luck, Babe!",90,218423,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,various
17,3siwsiaEoU4Kuuc9WKMUy5,The Marías,Submarine,No One Noticed,90,236906,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,bedroom pop
18,3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Fireworks & Rollerblades,Beautiful Things,89,180304,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,various
19,2A22iI0x4EYAVXNpKPhNEM,Ella Langley,still hungover,weren't for the wind,83,193666,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,country
20,0aB0v4027ukVziUGwVGYpG,Kendrick Lamar;Lefty Gunplay,GNX,tv off (feat. lefty gunplay),86,220690,TRUE,0,0,0,0,0,0,0,0,0,0,0,4,hip hop
21,2CGNAOSuO1MEFCbBRgUzjd,Kendrick Lamar;SZA,GNX,luther (with sza),85,177598,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,hip hop
22,1osfLqL6L2iQsirRf83ded,Riley Green,Way Out Here,Worst Way,83,220558,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,country
23,4WFgvKVfEhb3IUAFGrutTR,Ravyn Lenae,Bird's Eye,Love Me Not,89,213466,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,alternative r&b
24,2RkZ5LkEzeHGRsmDqKwmaJ,Alex Warren,"You'll Be Alright, Kid (Chapter 1)",Ordinary,92,186964,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,various
25,53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Life of a Showgirl,The Fate of Ophelia,100,226073,FALSE,0,0,0,0,0,0,0,0,0,0,0,4,various
